skin_name,quality,wear
StatTrak™ P90 | Elite Build,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Galil AR | Rocket Pop,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Glock-18 | Bunsen Burner,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Riot,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Nova | Ranger,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ USP-S | Torque,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP9 | Ruby Poison Dart,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A4 | Evil Daimyo,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ FAMAS | Neural Net,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P2000 | Handgun,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Negev | Loudmouth,stat_purple,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP7 | Nemesis,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested)"
StatTrak™ SG 553 | Cyrex,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ CZ75-Auto | Yellow Jacket,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | Aquamarine Revenge,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AWP | Hyper Beast,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Crimson Web,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Blue Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Night,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Slaughter,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ StatTrak™ Falchion Knife | Case Hardened,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Boreal Forest,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Scorched,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Forest DDPAT,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Stained,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Urban Masked,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Safari Mesh,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
