skin_name,quality,wear
MP9 | Bioleak,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ XM1014 | Black Tie,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AUG | Fleet Flock,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Primal Saber,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | Asiimov,stat_pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ PP-Bizon | Judgement of Anubis,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A1-S | Chantico's Fire,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
