skin_name,quality,wear
MP7 | Armor Core,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP7 | Armor Core,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | Elite Build,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Desert Eagle | Bronze Deco,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Negev | Man-o'-war,stat_blue,"(Minimal Wear), (Field-Tested)"
StatTrak™ Sawed-Off | Origami,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | Valence,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ CZ75-Auto | Pole Position,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Grand Prix,stat_purple,(Field-Tested)
StatTrak™ MAG-7 | Heat,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AWP | Worm God,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ Galil AR | Eco,stat_pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ FAMAS | Djinn,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Five-SeveN | Monkey Business,stat_pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MAC-10 | Neon Rider,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ M4A1-S | Hyper Beast,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
