skin_name,quality,wear
★ Navaja Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Talon Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Ursus Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Stiletto Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Navaja Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Talon Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Ursus Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Stiletto Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Navaja Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Talon Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Ursus Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Stiletto Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Navaja Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Talon Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Ursus Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Stiletto Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Navaja Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
StatTrak™ FAMAS | Crypsis,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | Uncharted,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MAC-10 | Whitefish,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Galil AR | Akoben,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP7 | Mischief,blue,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | Verdigris,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P90 | Off World,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AWP | Atheris,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Tec-9 | Bamboozle,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Desert Eagle | Light Rail,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP5-SD | Gauss,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Moonrise,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ R8 Revolver | Skull Crusher,pink,"(Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AUG | Momentum,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ XM1014 | Incinegator,pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Five-SeveN | Angry Mob,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A4 | The Emperor,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Talon Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Ursus Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Stiletto Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Navaja Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Talon Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Ursus Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Stiletto Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Navaja Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Talon Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Ursus Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Stiletto Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Navaja Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Talon Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Ursus Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Stiletto Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Navaja Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Talon Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Ursus Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Stiletto Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Navaja Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Talon Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Ursus Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Stiletto Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Navaja Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
