skin_name,quality,wear
MP9 | Deadly Poison,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP9 | Deadly Poison,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Glock-18 | Catacombs,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ XM1014 | Quicksilver,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M249 | System Lock,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ SCAR-20 | Grotto,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MAC-10 | Malachite,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Dual Berettas | Urban Shock,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Desert Eagle | Naga,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Sawed-Off | Serenity,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A4 | 龍王 (Dragon King),stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | Cartel,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | Muertos,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Galil AR | Chatterbox,stat_red,"(Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AWP | Man-o'-war,stat_red,"(Minimal Wear), (Field-Tested)"
★ StatTrak™ M9 Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Karambit | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bayonet | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Flip Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Gut Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ M9 Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ M9 Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Karambit | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bayonet | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Flip Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Gut Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"

