skin_name,quality,wear
MP7 | Akoben,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Butterfly Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Falchion Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Butterfly Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Falchion Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
StatTrak™ MP7 | Akoben,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Sawed-Off | Zander,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ SCAR-20 | Blueprint,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ PP-Bizon | Jungle Slipstream,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | Ripple,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Five-SeveN | Capillary,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Desert Eagle | Oxide Blaze,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MAC-10 | Last Dive,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Scaffold,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ XM1014 | Seasons,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Galil AR | Crimson Tsunami,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M249 | Emerald Poison Dart,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ AWP | Fever Dream,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ CZ75-Auto | Xiangliu,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A1-S | Decimator,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | Bloodsport,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ USP-S | Neo-Noir,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Butterfly Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Butterfly Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
